推,噓,分數,作者,標題,時間
13,4,9,sonyoung (youngson),[問卦] 在都是女生的環境工作是不是要小心,Sat Feb  6 03:21:39 2021
8,8,0,ivonie5566 (強烈譴責趙又廷抄襲5566),[問卦] 愛莉莎莎絕美照曝光 網驚：上海灘賭聖？,Fri Feb  5 22:37:39 2021
12,0,12,aivxg (家裡窮西索XD),[問卦] 其實雞排妹是防疫大使吧,Fri Feb  5 22:24:40 2021
2,1,1,ocean1025 (人生海海),[問卦]關於 電影第六感生死緣,Sat Feb  6 00:48:51 2021
2,2,0,rd5186 (GIOS),[問卦] 按照這個情勢，翁立友是不是還可以出這招,Fri Feb  5 22:49:34 2021
13,0,13,magic543 (何布),[問卦] 罷免案的討論度是不是被雞排妹吸走了,Fri Feb  5 23:16:14 2021
5,0,5,juicypussy (多汁小貓咪),[問卦] 什麼時候會脫口說出「垃圾」,Sat Feb  6 03:48:30 2021
5,6,-1,ex250203 (我是肥宅我驕傲),[問卦] 被性騷擾其實很爽吧,Fri Feb  5 22:09:52 2021
4,0,4,dean1990 (狄恩院長),Re,Sat Feb  6 06:51:54 2021
8,0,8,huyee (瘋狗),[問卦] clubhouse 跟ptt 哪個比較優越？,Sat Feb  6 02:32:01 2021
7,1,6,Beanoodle (津崎似超人平匡先生),[問卦] 雞排妹要是生在日本是不是沒人敢搭電車？,Sat Feb  6 08:08:01 2021
8,0,8,mongi (大體老屍),[問卦] 清潔隊是不是都有背景？,Sat Feb  6 09:21:16 2021
36,8,28,combo999 (---),[新聞] 台股封關無緣萬六 股民鼠年平均賺121.5萬,Fri Feb  5 23:07:25 2021
3,1,2,cpz (我是閃亮亮的鑽石),[問卦] 去半套店會被告性騷擾ㄇ？,Sat Feb  6 00:21:35 2021
6,1,5,emperor (派蘿派蘿得第一),[問卦] 与田祐希與我的下午茶約會?,Fri Feb  5 22:59:45 2021
8,0,8,PrinceKanto (生田絵梨花は俺の嫁),[問卦] 孤狼之血會是乃木坂西野七瀬最適合戲路嗎,Fri Feb  5 22:20:47 2021
5,0,5,maxjack (),[問卦] 當初尾牙場是唱這首歌嗎？,Sat Feb  6 02:22:49 2021
2,3,-1,moai513 (523),[問卦] 地瓜片吃會到嘴巴破掉怎麼辦?,Sat Feb  6 00:00:14 2021
6,0,6,DarkHolbach (黑道公子讓你變失業魯蛇),Re,Fri Feb  5 23:52:24 2021
1,6,-5,great5566 (陳央),Re,Sat Feb  6 07:26:24 2021
5,1,4,seabox (盒盒),[問卦] 胤礽是多爛 被康熙廢兩次,Sat Feb  6 01:14:07 2021
29,17,12,ioupoiu (他媽的噁心甲),[新聞] 告遲緩男的他是「六寶爸」曾是法律高材?1,Fri Feb  5 22:09:27 2021
9,2,7,konanno1 (柯南不一),[問卦] G排妹的討論到底可以洗多久,Sat Feb  6 00:27:13 2021
4,2,2,masi (專業酸民),[問卦] 柯以柔前夫跟王剛比誰比較厲害,Sat Feb  6 00:31:18 2021
3,1,2,ceramicfa (ceramicfa),[問卦] 展鈔5秒鐘展90度 可以去銀行上班了嗎?,Fri Feb  5 22:35:17 2021
1,1,0,purplvampire (阿修雷),[新聞] 臺北市與亞太電信聯手啟動5G專網智慧醫療,Fri Feb  5 22:16:44 2021
89,40,49,ubcs (覺★青年超冒險蓋),[公告] 愛莉莎莎殺手 水桶發錢,Sat Feb  6 01:39:21 2021
34,3,31,richshen (哇哈哈),[問卦] 三年後翁立友在鄉民眼中是什麼評價?,Sat Feb  6 03:29:17 2021
9,0,9,QQKKQKQK (QK啦!),[問卦] 憾！下線等。櫻木的千年殺算是性騷擾嗎？,Fri Feb  5 22:30:04 2021
0,3,-3,akumakei (他們想要強奸我),[問卦] 最希望誰來代言MLB  Josh：愛莉莎莎,Sat Feb  6 00:21:08 2021
4,1,3,fatslave (),[問卦] 被女生用皮鞭抽打 滴蠟 總不會被告吧,Sat Feb  6 00:03:04 2021
3,3,0,flamevein (ACCET),[問卦] 魔法師轉職該怎麼慶祝,Sat Feb  6 01:03:29 2021
4,0,4,ich2 (北川石原都是我老婆),[問卦] 台北捷運怎麼還不改掉手扶梯站右邊？,Fri Feb  5 22:56:22 2021
9,2,7,eva577663 (˙(00)˙),[新聞] 板橋女控遭性騷擾　她竟在賣場噴防狼噴,Fri Feb  5 23:40:30 2021
1,2,-1,DCSHK (耳機),[問卦] 該發起WFM運動了嗎?,Sat Feb  6 08:27:20 2021
5,1,4,tony77998 (偷尼柒柒玖玖捌),[問卦] 為什麼清朝鴉片時代沒有出大藝術家,Fri Feb  5 23:05:12 2021
3,0,3,a6000200 (aa),[問卦] 女生是不是不用怕沒飯吃,Sat Feb  6 00:54:22 2021
8,3,5,S9125126 (SS),[問卦] 是不是只要長的帥 風趣　幽默　就安全？,Sat Feb  6 08:39:16 2021
